Date,MEXICO,GUATEMALA,VENEZUELA,HONDURAS,PEOPLE'S REPUBLIC OF CHINA
2019-10-01,16910,5788,205,5449,358
2019-11-01,15810,6129,105,4479,232
2019-12-01,14565,6396,399,4202,265
2020-01-01,16118,4487,139,2567,261
2020-02-01,16726,4802,132,2802,42
2020-03-01,13476,3192,99,2362,46
2020-04-01,441,54,7,65,3
2020-05-01,831,56,6,85,15
2020-06-01,1322,63,12,97,7
2020-07-01,1614,169,25,172,1
2020-08-01,2086,367,30,335,0
2020-09-01,2438,793,31,585,6
2020-10-01,2299,926,96,774,6
2020-11-01,3124,1295,144,891,7
2020-12-01,3848,1956,171,1269,11
2021-01-01,3892,2534,236,1897,5
2021-02-01,3460,5610,827,7555,9
2021-03-01,4500,13639,2302,21195,17
2021-04-01,4504,10594,5467,16283,16
2021-05-01,4828,8649,7166,12557,29
2021-06-01,4472,12502,7286,16313,71
2021-07-01,3836,20970,5950,26524,59
2021-08-01,3869,18706,6170,23987,21
2021-09-01,4076,8497,10740,12760,59
2021-10-01,4435,6022,13309,7936,88
2021-11-01,4180,7089,20260,7301,75
2021-12-01,3723,6777,24725,5747,64
2022-01-01,4117,3621,22700,2890,80
2022-02-01,5146,5497,3035,3914,44
2022-03-01,7291,6224,4025,4728,74
2022-04-01,8053,7184,4065,5660,145
2022-05-01,7455,7419,5043,6272,182
2022-06-01,6661,7776,13120,7415,187
2022-07-01,5851,6354,17531,5772,291
2022-08-01,6266,5128,25254,3966,348
2022-09-01,6711,5214,33681,3814,385
2022-10-01,5955,4998,15290,3481,412
2022-11-01,6090,5799,912,3682,517
2022-12-01,11634,5541,732,3549,931
2023-01-01,13947,3794,221,2528,1063
2023-02-01,10376,4902,276,3125,1338
2023-03-01,9998,5429,924,4026,2258
2023-04-01,9278,6394,20603,3777,3179
2023-05-01,26566,11684,22566,13252,2767
2023-06-01,33958,9548,12549,10659,2122
2023-07-01,36003,21490,11427,23090,3075
2023-08-01,39508,37205,22090,31742,2361
2023-09-01,39773,33669,54833,23505,4010
2023-10-01,48994,23014,29635,18043,4247
2023-11-01,50980,25518,23007,16589,4768
2023-12-01,56240,34693,46917,18993,5951
2024-01-01,46270,19571,4423,7019,3693
2024-02-01,49920,23222,3185,8332,3507
2024-03-01,52154,14787,8101,7254,2048
2024-04-01,45900,11620,8732,7628,3282
2024-05-01,45128,13029,6570,8101,3582
2024-06-01,31966,10633,1944,6377,2164
2024-07-01,22215,6792,612,4514,1851
2024-08-01,26799,6420,626,4463,1472
2024-09-01,25713,5995,577,3842,1268
